Book ID,Title,Author,ISBN,Publication Year,Available Copies
161,Algorithms,Tammy Clark,978-0-85983-996-9,2008,9
162,Software Engineering,Zachary Carter,978-0-409-69023-1,2015,6
163,Thermodynamics,Samantha Burton,978-0-406-67060-1,1985,10
164,Data Analytics,Charles Brown,978-1-883144-63-0,1996,9
165,Artificial Intelligence,Diane Castillo,978-0-263-95200-1,1986,5
166,Thermodynamics,Gloria Johnson,978-1-81311-736-9,1989,4
167,Database Management,Richard Lambert,978-0-533-64980-8,1986,4
168,Fluid Mechanics,Susan Huerta,978-1-235-72087-1,1994,4
169,Database Management,Cheryl Davidson,978-1-357-64368-3,2001,10
170,Communication Systems,Dylan Tyler,978-1-4732-7195-1,1993,1
171,Digital Electronics,David Baker,978-1-153-82707-2,2016,6
172,Manufacturing Processes,Nathan Sparks,978-1-63110-826-6,1993,4
173,Algorithms,Carrie Garcia,978-0-05-576017-3,2005,6
174,Manufacturing Processes,Regina Gross,978-1-79267-046-6,1991,5
175,Data Analytics,Shannon Wood,978-0-85196-132-3,2003,3
176,Embedded Systems,Sarah Richards,978-1-56544-916-9,2002,2
177,Digital Electronics,Charles Davis,978-1-5385-5280-3,2002,4
178,Robotics,Michael Gray,978-0-7254-7509-3,1990,9
179,Software Engineering,Charles Smith,978-0-9708514-1-3,1993,9
180,Artificial Intelligence,Lisa Burnett,978-1-138-21323-4,1984,7
181,Signal Processing,Jacqueline Sims,978-0-631-36268-5,2019,9
182,Manufacturing Processes,Brandon Allen,978-1-84058-088-4,1995,8
183,Communication Systems,Angela Martin,978-0-450-44369-5,2010,2
184,Circuit Design,Lisa Jordan,978-1-5467-2066-9,2009,2
185,Software Engineering,Nicholas Collier,978-1-156-88098-2,2017,10
186,Signal Processing,Patrick Moore,978-0-08-904938-1,1992,7
187,Database Management,Jeffrey Long,978-1-316-83402-2,1986,9
188,Robotics,Michael Burke,978-1-56559-277-3,1987,7
189,Thermodynamics,Shannon Khan,978-0-7657-5567-4,2012,8
190,Fluid Mechanics,Laura Smith,978-0-03-322230-3,1990,6
191,Data Analytics,Gregory Lopez MD,978-1-63427-743-3,1998,3
192,Networking,Alexandria Rosales,978-0-461-53098-8,2001,6
193,Fluid Mechanics,Nathan Chang,978-0-87010-172-4,2009,7
194,Manufacturing Processes,Jacob Crawford,978-0-00-851916-2,1992,5
195,Manufacturing Processes,Linda Reyes,978-1-00-292754-0,2022,1
196,Circuit Design,Savannah Johnson,978-1-107-87852-5,2008,10
197,Algorithms,Dawn Miller,978-1-02-203628-4,1988,7
198,Artificial Intelligence,Denise Peck,978-1-137-02633-0,1991,3
199,Communication Systems,Sarah Watson,978-0-234-44627-0,2016,4
200,Signal Processing,Timothy Vega,978-0-04-145724-7,2021,4
201,Data Analytics,Ryan Knox,978-1-354-03305-0,2022,1
202,Data Analytics,Lynn Williams,978-1-61161-912-6,2011,8
203,Machine Learning,Lindsay Montgomery,978-0-12-127796-3,1993,5
204,Artificial Intelligence,Cynthia Beck,978-1-143-34946-1,1990,6
205,Manufacturing Processes,Derek Cooke,978-0-17-088326-9,2008,5
206,Fluid Mechanics,Elizabeth Lopez,978-0-446-45465-0,2011,5
207,Algorithms,Katherine Randall,978-0-231-28521-6,1990,3
208,Embedded Systems,Christopher Gonzalez,978-1-256-26646-4,2002,9
209,Signal Processing,Dean Nelson,978-0-570-18393-8,2002,7
210,Circuit Design,Charles Diaz,978-1-70325-607-9,1990,9
211,Software Engineering,Adam Torres,978-1-65504-108-2,1981,8
212,Digital Electronics,Jennifer Tucker,978-0-7259-7845-7,1996,4
213,Networking,Mary Lopez,978-1-181-72357-5,1980,4
214,Digital Electronics,Melissa Wright,978-0-89987-928-4,2004,1
215,Algorithms,Raymond Christensen,978-0-305-69210-0,1981,6
216,Machine Learning,Jason Herring,978-0-8309-5276-2,1983,4
217,Software Engineering,Mrs. Alicia Williams,978-0-568-20063-0,2004,3
218,Robotics,Paige Jones,978-1-278-97994-6,1984,8
219,Circuit Design,Charles Reed,978-1-79877-053-5,2004,7
220,Fluid Mechanics,Tara Daniels,978-1-84759-497-6,1985,3
221,Algorithms,Laurie Wells,978-1-4463-5152-9,1983,8
222,Networking,Lance Parsons,978-0-246-40387-2,1988,9
223,Database Management,James Doyle,978-1-891045-52-3,2001,3
224,Manufacturing Processes,Patricia Bell,978-1-71137-431-4,2018,5
225,Machine Learning,Jason Garcia,978-1-69429-502-6,2010,3
226,Web Development,Victoria Gilmore,978-0-460-34727-3,1981,7
227,Mechanical Design,Danielle Harris,978-0-14-047419-0,2023,8
228,Digital Electronics,Gabriela Freeman,978-0-211-90535-6,2015,9
229,Communication Systems,Antonio Reed,978-0-9914883-2-2,2013,7
230,Fluid Mechanics,Christy Meyer,978-0-86425-292-0,2009,5
231,Circuit Design,Andrea Combs,978-0-452-12518-6,1985,1
232,Fluid Mechanics,Tonya Kennedy,978-0-89026-214-6,1997,3
233,Data Analytics,Jose Graham,978-1-4181-0334-7,2014,6
234,Software Engineering,Joseph Park,978-1-209-07069-8,2015,8
235,Embedded Systems,Joshua Chapman,978-0-358-30274-2,2002,1
236,Machine Learning,Karen Bolton,978-0-86026-765-2,2004,8
237,Cloud Computing,Lauren Garcia,978-1-4180-0133-9,2004,1
238,Digital Electronics,Cory Santos,978-0-590-94525-7,2008,1
239,Data Analytics,Heather Chen,978-1-68292-771-7,2010,5
240,Robotics,Jennifer Walters,978-1-172-24123-1,2016,8
241,Embedded Systems,Matthew Smith,978-1-349-81545-6,2002,2
242,Circuit Design,Megan Patterson,978-1-4316-8166-2,2001,3
243,Machine Learning,Marcus Baker,978-1-03-953017-1,2011,3
244,Artificial Intelligence,Andrew Wagner,978-1-70086-228-0,2009,3
245,Circuit Design,Natasha Livingston,978-0-14-771490-9,1983,9
246,Machine Learning,Angela Giles,978-1-4398-0759-0,2003,2
247,Fluid Mechanics,Sheri Bauer,978-1-76648-594-2,1986,5
248,Cloud Computing,Jason Summers,978-1-928598-04-6,2000,8
249,Thermodynamics,Jordan Gilbert,978-0-416-74171-1,2020,2
250,Communication Systems,Molly Martinez,978-0-8256-2181-9,1993,10
251,Fluid Mechanics,Daniel Sanders,978-0-229-08104-2,1990,3
252,Digital Electronics,Matthew Knight,978-1-4418-3527-7,2012,2
253,Thermodynamics,Leslie Stewart,978-0-05-461061-5,1980,3
254,Software Engineering,Julie Lynn,978-1-57164-861-7,1999,4
255,Embedded Systems,Jennifer Cook,978-1-7355854-8-2,2004,10
256,Fluid Mechanics,David Bray,978-0-260-56467-2,2002,10
257,Communication Systems,Matthew Gutierrez,978-1-277-43213-8,1996,7
258,Mechanical Design,Dale Mercer,978-1-219-75632-2,2018,5
259,Signal Processing,David Nguyen,978-1-141-29299-8,2015,10
260,Software Engineering,Daniel Gordon,978-0-310-09328-2,2023,3
261,Mechanical Design,Kelsey Clark,978-0-8398-4273-6,2015,10
262,Embedded Systems,Tyler Carroll,978-0-397-39698-6,2008,3
263,Robotics,Deanna Lee,978-0-662-56453-9,2003,8
264,Embedded Systems,Cristian Warner MD,978-0-437-18160-2,1980,10
265,Digital Electronics,Alejandra Vega,978-1-83796-728-5,1991,5
266,Web Development,Wendy Smith,978-0-06-784612-4,1992,8
267,Manufacturing Processes,Rachel Allen,978-1-270-90504-2,2023,7
268,Machine Learning,Timothy Chavez,978-0-392-69399-8,2018,7
269,Data Structures,Michael Nolan,978-0-389-76858-6,2018,10
270,Data Structures,Joseph Johnson,978-1-377-44703-2,1992,1
271,Machine Learning,Daniel Buck,978-1-377-89251-1,1987,4
272,Thermodynamics,Shane Webb,978-1-4598-4859-7,2023,5
273,Mechanical Design,Gregory Craig,978-0-7289-1822-1,1983,1
274,Machine Learning,David Lopez,978-0-440-27705-7,2023,10
275,Mechanical Design,Sharon Baldwin,978-0-580-00206-9,2002,7
276,Networking,Gregory Paul,978-0-8482-9285-0,1999,10
277,Circuit Design,Kelsey White,978-1-78373-985-1,2021,9
278,Fluid Mechanics,Aaron Roach,978-0-7544-2070-5,2019,8
279,Cloud Computing,Jamie Thomas,978-0-453-19244-6,1996,3
280,Manufacturing Processes,Dr. Austin Finley,978-0-539-06164-2,1989,5
281,Circuit Design,Dr. James Evans,978-0-249-65748-7,2009,3
282,Digital Electronics,Rebecca Mcknight,978-0-7204-3289-3,1996,9
283,Robotics,William Richards,978-1-75997-679-2,1985,10
284,Cloud Computing,Charles Fields,978-1-227-67223-2,2016,5
285,Data Analytics,Christopher Thomas,978-1-81243-773-4,2010,2
286,Database Management,Wendy Perez,978-0-11-588709-3,1995,4
287,Algorithms,Patrick Lyons,978-1-71562-645-7,2000,9
288,Data Analytics,Juan Johnson,978-0-05-444764-8,1991,9
289,Mechanical Design,Chase Bennett,978-1-65520-821-8,2009,1
290,Manufacturing Processes,Amy Colon,978-1-325-18409-5,1981,1
291,Cloud Computing,James Camacho,978-0-09-887741-8,2016,5
292,Circuit Design,Christopher Gray,978-0-87712-784-0,1980,9
293,Mechanical Design,James Fischer,978-0-419-05529-7,2009,4
294,Circuit Design,Chelsea Martin,978-0-08-951457-5,2006,9
295,Communication Systems,Maria Simmons,978-0-415-41529-3,1991,5
296,Mechanical Design,Raymond Browning,978-0-486-56363-3,1998,8
297,Communication Systems,Adam Bass,978-0-17-827504-2,1982,5
298,Data Structures,John Woodward,978-1-85628-130-0,2003,1
299,Mechanical Design,Andrew Reynolds,978-0-608-70010-6,2012,1
300,Artificial Intelligence,Joanne Gibson,978-1-4613-2381-5,2012,9
